'FAX','AMEX'             
'IAF','AMEX'             
'CH','AMEX'              
'ETF','AMEX'             
'FCO','AMEX'             
'IF','AMEX'              
'ISL','AMEX'             
'AXK','AMEX'             
'ACU','AMEX'             
'AE','AMEX'              
'ADK','AMEX'             
'AEN','AMEX'             
'API','AMEX'             
'ANX','AMEX'             
'ACY','AMEX'             
'AIM','AMEX'             
'AA-','AMEX'             
'AXU','AMEX'             
'ANV','AMEX'             
'AAU','AMEX'             
'APT','AMEX'             
'DIT','AMEX'             
'APP','AMEX'             
'ABL','AMEX'             
'ADGE','AMEX'            
'AIP','AMEX'             
'ALN','AMEX'             
'AMS','AMEX'             
'AQQ','AMEX'             
'ANO','AMEX'             
'AIS','AMEX'             
'BRD','AMEX'             
'AGX','AMEX'             
'ARR-WS','AMEX'          
'HRT','AMEX'             
'ATSC','AMEX'            
'AZC','AMEX'             
'AZK','AMEX'             
'AWX','AMEX'             
'AVL','AMEX'             
'ASM','AMEX'             
'BONE','AMEX'                  
'BKR','AMEX'             
'BLD','AMEX'             
'BTN','AMEX'             
'BKJ','AMEX'             
'BCV','AMEX'             
'BNX','AMEX'             
'BAA','AMEX'             
'BHB','AMEX'             
'BRN','AMEX'             
'BIR-A','AMEX'           
'BTX','AMEX'             
'BMJ','AMEX'             
'RFA','AMEX'             
'BZM','AMEX'             
'BLE','AMEX'             
'RNJ','AMEX'             
'BLJ','AMEX'             
'RNY','AMEX'             
'BFY','AMEX'             
'BPS','AMEX'             
'BHV','AMEX'             
'BDR','AMEX'                 
'BVX','AMEX'             
'BWL-A','AMEX'           
'BZC','AMEX'             
'BTI','AMEX'             
'CAK','AMEX'             
'CFW','AMEX'             
'CDY','AMEX'             
'CXM','AMEX'             
'ROX','AMEX'             
'CAW','AMEX'             
'CVM','AMEX'             
'CEF','AMEX'             
'GTU','AMEX'             
'CET','AMEX'             
'CCF','AMEX'             
'CQP','AMEX'             
'LNG','AMEX'             
'CVR','AMEX'             
'AXN','AMEX'             
'CNAM','AMEX'            
'CBP','AMEX'             
'CHGS','AMEX'            
'CMFO','AMEX'            
'CNR','AMEX'             
'NEP','AMEX'             
'CNGL','AMEX'            
'CPHI','AMEX'            
'SHZ','AMEX'             
'KUN','AMEX'             
'CRC','AMEX'             
'MBA','AMEX'             
'CKX','AMEX'             
'CGR','AMEX'             
'GLV','AMEX'             
'GLQ','AMEX'             
'GLO','AMEX'             
'CRV','AMEX'             
'MOC','AMEX'             
'BTC','AMEX'             
'CIX','AMEX'             
'LODE','AMEX'            
'CONM','AMEX'            
'CTO','AMEX'             
'MCF','AMEX'             
'CUO','AMEX'             
'CMT','AMEX'             
'CRMD','AMEX'            
'CRMD-WS','AMEX'         
'CFP','AMEX'             
'CRF','AMEX'             
'CLM','AMEX'             
'COVR','AMEX'            
'CVU','AMEX'             
'CIK','AMEX'             
'DHY','AMEX'             
'EXE','AMEX'             
'CXZ','AMEX'             
'CRVP','AMEX'            
'CTP','AMEX'             
'QBC','AMEX'             
'ATC','AMEX'             
'DXR','AMEX'             
'DEJ','AMEX'             
'VCF','AMEX'             
'VFL','AMEX'             
'VMM','AMEX'             
'DLA','AMEX'             
'DGSE','AMEX'            
'DPW','AMEX'             
'DSS','AMEX'             
'DRJ','AMEX'             
'DMF','AMEX'             
'GRF','AMEX'             
'EML','AMEX'             
'ELC','AMEX'             
