'DDD','NYSE'    
'MMM','NYSE'    
'SVN','NYSE'    
'NDN','NYSE'    
'AHC','NYSE'    
'AIR','NYSE'    
'AAN','NYSE'    
'ABB','NYSE'    
'ABT','NYSE'    
'ANF','NYSE'    
'ABH','NYSE'    
'ABM','NYSE'    
'ABVT','NYSE'   
'AKR','NYSE'    
'ACN','NYSE'    
'ABD','NYSE'    
'AH','NYSE'     
'ACW','NYSE'    
'ACE','NYSE'    
'ATV','NYSE'    
'ATU','NYSE'    
'AYI','NYSE'    
'ADX','NYSE'    
'AGRO','NYSE'   
'PVD','NYSE'    
'AEA','NYSE'    
'AAP','NYSE'    
'AMD','NYSE'    
'ASX','NYSE'    
'AAV','NYSE'    
'ATE','NYSE'    
'AGC','NYSE'    
'AVK','NYSE'    
'LCM','NYSE'    
'ACM','NYSE'    
'ANW','NYSE'    
'AEB','NYSE'    
'AED','NYSE'    
'AEF','NYSE'    
'AEG','NYSE'    
'AEH','NYSE'    
'AEV','NYSE'    
'AER','NYSE'    
'ARX','NYSE'    
'ARO','NYSE'    
'AET','NYSE'    
'AMG','NYSE'    
'AFL','NYSE'    
'MITT','NYSE'   
'AGCO','NYSE'   
'NCV','NYSE'    
'NCZ','NYSE'    
'NIE','NYSE'    
'NGZ','NYSE'    
'NAI','NYSE'    
'A','NYSE'      
'AGL','NYSE'    
'AEM','NYSE'    
'ADC','NYSE'    
'GRO','NYSE'    
'AGU','NYSE'    
'AL','NYSE'     
'APD','NYSE'    
'AYR','NYSE'    
'ARG','NYSE'    
'AKS','NYSE'    
'ALM','NYSE'    
'ALP-N','NYSE'  
'ALP-O','NYSE'  
'ALP-P','NYSE'  
'ALG','NYSE'    
'ALK','NYSE'    
'AIN','NYSE'    
'ALB','NYSE'    
'ALU','NYSE'    
'AA','NYSE'     
'ALR','NYSE'    
'ALR-B','NYSE'  
'ALEX','NYSE'   
'ALX','NYSE'    
'ARE','NYSE'    
'ARE-C','NYSE'  
'Y','NYSE'      
'ATI','NYSE'    
'AGN','NYSE'    
'ALE','NYSE'    
'AKP','NYSE'    
'AB','NYSE'     
'ADS','NYSE'    
'AIQ','NYSE'    
'AFB','NYSE'    
'AYN','NYSE'    
'AOI','NYSE'    
'AWF','NYSE'    
'ACG','NYSE'    
'LNT','NYSE'    
'ATK','NYSE'    
'AFC','NYSE'    
'AWH','NYSE'    
'ALL','NYSE'    
'BSI','NYSE'    
'ALJ','NYSE'    
'ANR','NYSE'    
'AGD','NYSE'    
'AWP','NYSE'    
'AOD','NYSE'    
'MO','NYSE'     
'AWC','NYSE'    
'ACH','NYSE'    
'PLD','NYSE'    
'PLD-L','NYSE'  
'PLD-M','NYSE'  
'PLD-O','NYSE'  
'PLD-P','NYSE'  
'PLD-R','NYSE'  
'PLD-S','NYSE'  
'AMBO','NYSE'   
'ACO','NYSE'    
'DOX','NYSE'    
'AEE','NYSE'    
'AMRC','NYSE'   
'MFA','NYSE'    
'MFA-A','NYSE'  
'AMX','NYSE'    
'AAT','NYSE'    
'AXL','NYSE'    
'ACC','NYSE'    
'AEO','NYSE'    
'AEP','NYSE'    
'AEP-A','NYSE'  
'AEL','NYSE'    
'AXP','NYSE'    
'AFE','NYSE'    
'AFG','NYSE'    
'AFQ','NYSE'    
'GFW','NYSE'    
'GFZ','NYSE'    
'AM','NYSE'     
'MRF','NYSE'    
'AFF','NYSE'    
'AIG','NYSE'    
'AIG-WS','NYSE' 
'AVF','NYSE'    
'AMID','NYSE'   
'XAA','NYSE'    
'AOB','NYSE'    
'ARL','NYSE'    
'ARC','NYSE'    
'ASI','NYSE'    
'SLA','NYSE'    
'AWR','NYSE'    
